ConditionDescription,LabID,Freq,DependentVariable,ConditionID,y,v
NLR,nzxwr,9,d750,22,1.20283067979348,16.9236233544906
NLR,nzxwr,9,d1000,22,1.36806194384547,10.2986123156144
NLR,pqcf4,6,d250,24,-4.68491662339596,10.3402445924141
NLR,pqcf4,6,d500,24,8.30321346203377,80.259099100356
NLR,pqcf4,6,d750,24,5.61362712649715,45.2218993182713
NLR,pqcf4,6,d1000,24,-6.8956626041787,16.5623905339626
NLR,t5y2h,14,d250,26,4.58841686740158,9.55370646785961
NLR,t5y2h,14,d500,26,4.84211141579662,11.2371427485796
NLR,t5y2h,14,d750,26,0.0898580446484272,7.01426057580064
NLR,t5y2h,14,d1000,26,2.08393832518083,13.4773493456518
NLR,vzt3a,21,d250,28,-2.94339225675447,7.64380293901229
NLR,vzt3a,21,d500,28,0.205701311984502,6.86631981649884
NLR,vzt3a,21,d750,28,-1.32322443738607,7.81729904238555
NLR,vzt3a,21,d1000,28,-5.21872464340659,4.25173383735664
